Weather,Color Palette,Pattern,Feeling,Clothing Fit,Dress Name,Description
Windy,Neutral,Stripes,Trendy,Tight,Bodycon,"A form-fitting dress that hugs the body, often featuring horizontal stripes."
Snowy,Earth,Geometric,Unique,Standard,Long Sleeve,"A dress with long sleeves, often featuring pastel floral patterns."
Sunny,Bright,Floral,Casual,Loose,Tunic,"A comfortable, long top that can be worn as a dress, often with geometric patterns."
Windy,Neutral,Stripes,Trendy,Standard,Peplum,"A dress with a flared ruffle attached at the waist, often featuring floral prints."
Windy,Neutral,Stripes,Trendy,Standard,Shirt,"A relaxed, button-down dress with a loose fit, often with vertical stripes."
Snowy,Earth,Geometric,Unique,Oversized,Knit Sweater,"A warm dress made of sweater material, often featuring floral patterns."
Sunny,Bright,Floral,Casual,Standard,Wrap,"A dress that wraps around the body, creating a V-neckline and tied at the waist."
Sunny,Bright,Floral,Casual,Loose,Maxi,"A long, flowing dress perfect for warm weather, featuring vibrant floral prints."
Pleasant,Pastel,Solid colors,Sophisticated,Standard,A-Line,"A classic dress with a fitted bodice and flared skirt, often knee-length."
Snowy,Earth,Geometric,Unique,Tight,Turtleneck,"A snug dress with a high neckline, often featuring geometric designs."
Sunny,Bright,Floral,Casual,Standard,T-Shirt,"A casual dress made of T-shirt material, often in solid earthy tones."
Snowy,Earth,Geometric,Unique,Oversized,Knit Sweater,"A dress with a flared ruffle attached at the waist, often featuring floral prints."
Windy,Neutral,Stripes,Trendy,Tight,Sheath,"A close-fitting dress that falls just below the knees, often with stripes."
Pleasant,Pastel,Solid colors,Sophisticated,Loose,Shift,"A simple, straight dress that hangs loosely from the shoulders."
Pleasant,Pastel,Solid colors,Sophisticated,Standard,Fit and Flare,"A dress that is fitted at the top and flares out from the waist, often with geometric patterns."
Windy,Neutral,Stripes,Trendy,Loose,Kaftan,"A loose, flowy dress often worn as a cover-up, featuring various stripe patterns."
Pleasant,Pastel,Solid colors,Sophisticated,Tight,Pencil,"A fitted dress that emphasizes the figure, often knee-length."
Pleasant,Pastel,Solid colors,Sophisticated,Loose,Boho Midi,"A mid-length dress with a relaxed fit, featuring bohemian-style floral patterns."
Sunny,Bright,Floral,Casual,Standard,Sundress,"A lightweight, sleeveless dress ideal for summer, usually knee-length."
Snowy,Earth,Geometric,Unique,Standard,Pinafore,"A dress worn over a top, often featuring bright stripes and a loose fit."
Pleasant,Earth,Geometric,Unique,Loose,Kaftan,"A warm dress made of sweater material, often featuring floral patterns."
Windy,Neutral,Floral,Trendy,Oversized,Knit Sweater,"A lightweight, sleeveless dress ideal for summer, usually knee-length."
Sunny,Pastel,Geometric,Unique,Tight,Pencil,"A mid-length dress with a relaxed fit, featuring bohemian-style floral patterns."
