Weather,Color Palette,Pattern,Feeling,Clothing Fit,Dress Name,Description
Windy,Neutral,Stripes,Trendy,Tight,Bodycon,"A form-fitting dress that hugs the body, often featuring horizontal stripes."
Snowy,Earth,Geometric,Unique,Oversized,Long Sleeve,"A dress with long sleeves, often featuring pastel floral patterns."
Sunny,Bright,Floral,Casual,Loose,Tunic,"A comfortable, long top that can be worn as a dress, often with geometric patterns."
Windy,Neutral,Stripes,Trendy,Tight,Peplum,"A dress with a flared ruffle attached at the waist, often featuring floral prints."
Windy,Neutral,Stripes,Trendy,Tight,Shirt,"A relaxed, button-down dress with a loose fit, often with vertical stripes."
Snowy,Earth,Geometric,Unique,Oversized,Sweater,"A warm dress made of sweater material, often featuring floral patterns."
Sunny,Bright,Floral,Casual,Loose,Wrap,"A dress that wraps around the body, creating a V-neckline and tied at the waist."
Sunny,Bright,Floral,Casual,Loose,Maxi,"A long, flowing dress perfect for warm weather, featuring vibrant floral prints."
Windy,Neutral,Stripes,Trendy,Tight,Bodycon,"A form-fitting dress that hugs the body, often featuring horizontal stripes."
Pleasant,Pastel,Solid colors,Sophisticated,Standard,A-Line,"A classic dress with a fitted bodice and flared skirt, often knee-length."
Windy,Neutral,Stripes,Trendy,Tight,Peplum,"A dress with a flared ruffle attached at the waist, often featuring floral prints."
Snowy,Earth,Geometric,Unique,Oversized,Turtleneck,"A snug dress with a high neckline, often featuring geometric designs."
Sunny,Bright,Floral,Casual,Loose,T-Shirt,"A casual dress made of T-shirt material, often in solid earthy tones."
Snowy,Earth,Geometric,Unique,Oversized,Long Sleeve,"A dress with long sleeves, often featuring pastel floral patterns."
Snowy,Earth,Geometric,Unique,Oversized,Knit Sweater,"A warm, cozy dress made of knit fabric, often with geometric patterns."
Snowy,Earth,Geometric,Unique,Oversized,Sweater,"A warm dress made of sweater material, often featuring floral patterns."
Windy,Neutral,Stripes,Trendy,Tight,Sheath,"A close-fitting dress that falls just below the knees, often with stripes."
Pleasant,Pastel,Solid colors,Sophisticated,Standard,Shift,"A simple, straight dress that hangs loosely from the shoulders."
Sunny,Bright,Floral,Casual,Loose,Tunic,"A comfortable, long top that can be worn as a dress, often with geometric patterns."
Pleasant,Pastel,Solid colors,Sophisticated,Standard,A-Line,"A classic dress with a fitted bodice and flared skirt, often knee-length."
Snowy,Earth,Geometric,Unique,Oversized,Turtleneck,"A snug dress with a high neckline, often featuring geometric designs."
Pleasant,Pastel,Solid colors,Sophisticated,Standard,Fit and Flare,"A dress that is fitted at the top and flares out from the waist, often with geometric patterns."
Pleasant,Pastel,Solid colors,Sophisticated,Standard,Fit and Flare,"A dress that is fitted at the top and flares out from the waist, often with geometric patterns."
Pleasant,Pastel,Solid colors,Sophisticated,Standard,Shift,"A simple, straight dress that hangs loosely from the shoulders."
Snowy,Earth,Geometric,Unique,Oversized,Sweater,"A warm dress made of sweater material, often featuring floral patterns."
Snowy,Earth,Geometric,Unique,Oversized,Turtleneck,"A snug dress with a high neckline, often featuring geometric designs."
Sunny,Bright,Floral,Casual,Loose,Maxi,"A long, flowing dress perfect for warm weather, featuring vibrant floral prints."
Sunny,Bright,Floral,Casual,Loose,Maxi,"A long, flowing dress perfect for warm weather, featuring vibrant floral prints."
Pleasant,Pastel,Solid colors,Sophisticated,Standard,Fit and Flare,"A dress that is fitted at the top and flares out from the waist, often with geometric patterns."
Pleasant,Pastel,Solid colors,Sophisticated,Standard,A-Line,"A classic dress with a fitted bodice and flared skirt, often knee-length."
Sunny,Bright,Floral,Casual,Loose,Wrap,"A dress that wraps around the body, creating a V-neckline and tied at the waist."
