Weather,Color Palette,Pattern,Feeling,Clothing Fit,Dress Name,Description
Windy,Neutral,Stripes,Trendy,Tight,Bodycon,"A form-fitting dress that hugs the body, often made from stretchy material."
Snowy,Earth,Geometric,Unique,Standard,Long Sleeve,"A dress with long sleeves, often featuring pastel or soft tones for a balanced look."
Sunny,Bright,Floral,Casual,Loose,Tunic,"A comfortable, long top that can be worn as a dress or over pants, usually loose-fitting."
Windy,Neutral,Stripes,Trendy,Standard,Peplum,"A dress with a flared ruffle attached at the waist, adding volume and style."
Windy,Neutral,Stripes,Trendy,Standard,Shirt,"A relaxed, button-down dress with a loose fit, suitable for casual or formal wear."
Snowy,Earth,Geometric,Unique,Oversized,Knit Sweater,"A cozy, knitted dress, often with a loose or oversized fit."
Sunny,Bright,Floral,Casual,Standard,Wrap,"A dress with a wrap-around style that ties at the waist, flattering for all body types."
Sunny,Bright,Floral,Casual,Loose,Maxi,"A floor-length dress that is often flowy and comfortable, ideal for casual or formal events."
Pleasant,Pastel,Solid colors,Sophisticated,Standard,A-Line,"A dress that fits snugly at the top and flares out towards the hem, creating an 'A' shape."
Snowy,Earth,Geometric,Unique,Tight,Turtleneck,"A dress with a high neckline that covers the neck, providing warmth and a chic look."
Sunny,Bright,Floral,Casual,Standard,T-Shirt,"A casual, comfortable dress styled like a long t-shirt, perfect for everyday wear."
Snowy,Earth,Geometric,Unique,Oversized,Knit Sweater,"A cozy, knitted dress, often with a loose or oversized fit."
Windy,Neutral,Stripes,Trendy,Tight,Sheath,"A close-fitting dress that follows the body’s natural shape, usually knee-length."
Pleasant,Pastel,Solid colors,Sophisticated,Loose,Shift,"A straight dress that hangs loosely from the shoulders, offering a relaxed fit."
Pleasant,Pastel,Solid colors,Sophisticated,Standard,Fit and Flare,"A dress that is fitted at the top and flares out from the waist, emphasizing the silhouette."
Windy,Neutral,Stripes,Trendy,Loose,Kaftan,"A loose, flowing dress with wide sleeves, often made from soft fabrics."
Pleasant,Pastel,Solid colors,Sophisticated,Tight,Pencil,"A dress with a straight and narrow cut, hugging the body from the hips to the hem."
Pleasant,Pastel,Solid colors,Sophisticated,Loose,Boho Midi,"A mid-length dress with a bohemian style, featuring flowing fabrics and intricate details."
Sunny,Bright,Floral,Casual,Standard,Sundress,"A light, airy dress suitable for warm weather, often with thin straps."
Snowy,Earth,Geometric,Unique,Standard,Pinafore,"A sleeveless dress that is usually worn over a blouse or t-shirt, creating a layered look."
Pleasant,Earth,Geometric,Unique,Loose,Kaftan,"A loose, flowing dress with wide sleeves, often made from soft fabrics."
Windy,Neutral,Floral,Trendy,Oversized,Knit Sweater,"A cozy, knitted dress, often with a loose or oversized fit."
Sunny,Pastel,Geometric,Unique,Tight,Pencil,"A dress with a straight and narrow cut, hugging the body from the hips to the hem."
Snowy,Bright,Stripes,Sophisticated,Standard,T-Shirt,"A casual, comfortable dress styled like a long t-shirt, perfect for everyday wear."
Pleasant,Pastel,Geometric,Unique,Tight,Sheath,"A close-fitting dress that follows the body’s natural shape, usually knee-length."
Windy,Earth,Geometric,Casual,Tight,Bodycon,"A form-fitting dress that hugs the body, often made from stretchy material."
Snowy,Pastel,Stripes,Casual,Oversized,Knit Sweater,"A cozy, knitted dress, often with a loose or oversized fit."
Windy,Pastel,Solid colors,Sophisticated,Loose,Boho Midi,"A mid-length dress with a bohemian style, featuring flowing fabrics and intricate details."
Windy,Neutral,Floral,Unique,Standard,T-Shirt,"A casual, comfortable dress styled like a long t-shirt, perfect for everyday wear."
Windy,Pastel,Stripes,Trendy,Loose,Tunic,"A comfortable, long top that can be worn as a dress or over pants, usually loose-fitting."
Windy,Bright,Floral,Unique,Standard,Wrap,"A dress with a wrap-around style that ties at the waist, flattering for all body types."
Pleasant,Bright,Floral,Sophisticated,Standard,Long Sleeve,"A dress with long sleeves, often featuring pastel or soft tones for a balanced look."
Snowy,Earth,Solid colors,Sophisticated,Tight,Turtleneck,"A dress with a high neckline that covers the neck, providing warmth and a chic look."
Snowy,Bright,Stripes,Trendy,Standard,Wrap,"A dress with a wrap-around style that ties at the waist, flattering for all body types."
Pleasant,Bright,Floral,Unique,Standard,A-Line,"A dress that fits snugly at the top and flares out towards the hem, creating an 'A' shape."
Snowy,Neutral,Geometric,Trendy,Tight,Turtleneck,"A dress with a high neckline that covers the neck, providing warmth and a chic look."
Pleasant,Pastel,Stripes,Unique,Standard,Peplum,"A dress with a flared ruffle attached at the waist, adding volume and style."
Sunny,Earth,Solid colors,Trendy,Tight,Pencil,"A dress with a straight and narrow cut, hugging the body from the hips to the hem."
Windy,Pastel,Solid colors,Unique,Standard,Pinafore,"A sleeveless dress that is usually worn over a blouse or t-shirt, creating a layered look."
Windy,Bright,Geometric,Trendy,Standard,Shirt,"A relaxed, button-down dress with a loose fit, suitable for casual or formal wear."
Snowy,Bright,Solid colors,Trendy,Tight,Bodycon,"A form-fitting dress that hugs the body, often made from stretchy material."
Windy,Bright,Geometric,Trendy,Oversized,Knit Sweater,"A cozy, knitted dress, often with a loose or oversized fit."
Windy,Pastel,Stripes,Casual,Standard,Shirt,"A relaxed, button-down dress with a loose fit, suitable for casual or formal wear."
Pleasant,Pastel,Floral,Sophisticated,Standard,Sundress,"A light, airy dress suitable for warm weather, often with thin straps."
Snowy,Earth,Solid colors,Casual,Tight,Turtleneck,"A dress with a high neckline that covers the neck, providing warmth and a chic look."
Pleasant,Neutral,Geometric,Unique,Standard,Pinafore,"A sleeveless dress that is usually worn over a blouse or t-shirt, creating a layered look."
Pleasant,Earth,Stripes,Casual,Oversized,Sweater,"A knitted or woolen dress, often oversized for warmth and comfort."
Snowy,Bright,Stripes,Unique,Standard,Peplum,"A dress with a flared ruffle attached at the waist, adding volume and style."
Windy,Bright,Floral,Sophisticated,Loose,Shift,"A straight dress that hangs loosely from the shoulders, offering a relaxed fit."
Snowy,Neutral,Stripes,Unique,Tight,Turtleneck,"A dress with a high neckline that covers the neck, providing warmth and a chic look."
Sunny,Bright,Stripes,Trendy,Standard,Sundress,"A light, airy dress suitable for warm weather, often with thin straps."
Sunny,Earth,Solid colors,Casual,Loose,Kaftan,"A loose, flowing dress with wide sleeves, often made from soft fabrics."
Windy,Earth,Solid colors,Unique,Standard,Peplum,"A dress with a flared ruffle attached at the waist, adding volume and style."
Windy,Pastel,Geometric,Sophisticated,Standard,Shirt,"A relaxed, button-down dress with a loose fit, suitable for casual or formal wear."
Sunny,Neutral,Solid colors,Casual,Standard,Wrap,"A dress with a wrap-around style that ties at the waist, flattering for all body types."
Pleasant,Bright,Floral,Unique,Standard,Peplum,"A dress with a flared ruffle attached at the waist, adding volume and style."
Windy,Earth,Floral,Trendy,Loose,Tunic,"A comfortable, long top that can be worn as a dress or over pants, usually loose-fitting."
Sunny,Bright,Geometric,Casual,Loose,Boho Midi,"A mid-length dress with a bohemian style, featuring flowing fabrics and intricate details."
Snowy,Pastel,Geometric,Sophisticated,Loose,Maxi,"A floor-length dress that is often flowy and comfortable, ideal for casual or formal events."
Windy,Neutral,Geometric,Trendy,Loose,Boho Midi,"A mid-length dress with a bohemian style, featuring flowing fabrics and intricate details."
Snowy,Bright,Floral,Sophisticated,Loose,Kaftan,"A loose, flowing dress with wide sleeves, often made from soft fabrics."
Pleasant,Earth,Stripes,Sophisticated,Standard,Fit and Flare,"A dress that is fitted at the top and flares out from the waist, emphasizing the silhouette."
Windy,Bright,Geometric,Sophisticated,Tight,Sheath,"A close-fitting dress that follows the body’s natural shape, usually knee-length."
Pleasant,Neutral,Solid colors,Trendy,Tight,Turtleneck,"A dress with a high neckline that covers the neck, providing warmth and a chic look."
Sunny,Pastel,Solid colors,Sophisticated,Standard,Sundress,"A light, airy dress suitable for warm weather, often with thin straps."
Pleasant,Neutral,Solid colors,Trendy,Loose,Tunic,"A comfortable, long top that can be worn as a dress or over pants, usually loose-fitting."
Pleasant,Earth,Solid colors,Trendy,Loose,Tunic,"A comfortable, long top that can be worn as a dress or over pants, usually loose-fitting."
Snowy,Bright,Solid colors,Trendy,Standard,A-Line,"A dress that fits snugly at the top and flares out towards the hem, creating an 'A' shape."
Pleasant,Pastel,Solid colors,Casual,Oversized,Sweater,"A knitted or woolen dress, often oversized for warmth and comfort."
Sunny,Earth,Geometric,Sophisticated,Loose,Boho Midi,"A mid-length dress with a bohemian style, featuring flowing fabrics and intricate details."
Pleasant,Bright,Floral,Casual,Loose,Shift,"A straight dress that hangs loosely from the shoulders, offering a relaxed fit."
Pleasant,Pastel,Stripes,Unique,Loose,Kaftan,"A loose, flowing dress with wide sleeves, often made from soft fabrics."
Pleasant,Bright,Solid colors,Trendy,Tight,Turtleneck,"A dress with a high neckline that covers the neck, providing warmth and a chic look."
Pleasant,Bright,Geometric,Unique,Loose,Shift,"A straight dress that hangs loosely from the shoulders, offering a relaxed fit."
Pleasant,Bright,Floral,Casual,Oversized,Sweater,"A knitted or woolen dress, often oversized for warmth and comfort."
Windy,Neutral,Geometric,Casual,Standard,Pinafore,"A sleeveless dress that is usually worn over a blouse or t-shirt, creating a layered look."
Pleasant,Pastel,Solid colors,Casual,Loose,Kaftan,"A loose, flowing dress with wide sleeves, often made from soft fabrics."
Pleasant,Bright,Stripes,Unique,Standard,Shirt,"A relaxed, button-down dress with a loose fit, suitable for casual or formal wear."
Snowy,Earth,Floral,Unique,Standard,Sundress,"A light, airy dress suitable for warm weather, often with thin straps."
Windy,Neutral,Solid colors,Sophisticated,Loose,Shift,"A straight dress that hangs loosely from the shoulders, offering a relaxed fit."
Snowy,Pastel,Stripes,Sophisticated,Standard,Shirt,"A relaxed, button-down dress with a loose fit, suitable for casual or formal wear."
Pleasant,Neutral,Stripes,Sophisticated,Standard,Wrap,"A dress with a wrap-around style that ties at the waist, flattering for all body types."
Sunny,Bright,Geometric,Sophisticated,Tight,Pencil,"A dress with a straight and narrow cut, hugging the body from the hips to the hem."
Windy,Pastel,Stripes,Sophisticated,Standard,Peplum,"A dress with a flared ruffle attached at the waist, adding volume and style."
Snowy,Neutral,Solid colors,Sophisticated,Standard,Fit and Flare,"A dress that is fitted at the top and flares out from the waist, emphasizing the silhouette."
Windy,Earth,Floral,Unique,Loose,Maxi,"A floor-length dress that is often flowy and comfortable, ideal for casual or formal events."
Sunny,Bright,Geometric,Casual,Loose,Maxi,"A floor-length dress that is often flowy and comfortable, ideal for casual or formal events."
Pleasant,Earth,Solid colors,Trendy,Loose,Boho Midi,"A mid-length dress with a bohemian style, featuring flowing fabrics and intricate details."
Sunny,Neutral,Floral,Trendy,Standard,Long Sleeve,"A dress with long sleeves, often featuring pastel or soft tones for a balanced look."
Pleasant,Bright,Geometric,Sophisticated,Standard,Shirt,"A relaxed, button-down dress with a loose fit, suitable for casual or formal wear."
Windy,Earth,Solid colors,Unique,Loose,Tunic,"A comfortable, long top that can be worn as a dress or over pants, usually loose-fitting."
Snowy,Earth,Floral,Sophisticated,Oversized,Knit Sweater,"A cozy, knitted dress, often with a loose or oversized fit."
Windy,Earth,Floral,Sophisticated,Standard,Peplum,"A dress with a flared ruffle attached at the waist, adding volume and style."
Windy,Neutral,Floral,Casual,Oversized,Knit Sweater,"A cozy, knitted dress, often with a loose or oversized fit."
Pleasant,Neutral,Stripes,Sophisticated,Tight,Turtleneck,"A dress with a high neckline that covers the neck, providing warmth and a chic look."
Sunny,Neutral,Solid colors,Trendy,Standard,Peplum,"A dress with a flared ruffle attached at the waist, adding volume and style."
Sunny,Pastel,Floral,Trendy,Oversized,Sweater,"A knitted or woolen dress, often oversized for warmth and comfort."
Snowy,Neutral,Floral,Sophisticated,Oversized,Knit Sweater,"A cozy, knitted dress, often with a loose or oversized fit."
Windy,Bright,Geometric,Trendy,Standard,Sundress,"A light, airy dress suitable for warm weather, often with thin straps."
Windy,Neutral,Stripes,Trendy,Standard,Peplum,"A dress with a flared ruffle attached at the waist, adding volume and style."
Snowy,Earth,Geometric,Casual,Standard,Peplum,"A dress with a flared ruffle attached at the waist, adding volume and style."
Windy,Earth,Solid colors,Unique,Tight,Bodycon,"A form-fitting dress that hugs the body, often made from stretchy material."
Windy,Bright,Geometric,Casual,Loose,Kaftan,"A loose, flowing dress with wide sleeves, often made from soft fabrics."
Snowy,Bright,Stripes,Trendy,Standard,A-Line,"A dress that fits snugly at the top and flares out towards the hem, creating an 'A' shape."
Pleasant,Bright,Stripes,Sophisticated,Tight,Pencil,"A dress with a straight and narrow cut, hugging the body from the hips to the hem."
Sunny,Pastel,Geometric,Trendy,Loose,Maxi,"A floor-length dress that is often flowy and comfortable, ideal for casual or formal events."
Sunny,Earth,Stripes,Sophisticated,Standard,Sweater,"A knitted or woolen dress, often oversized for warmth and comfort."
Snowy,Neutral,Floral,Unique,Standard,Shirt,"A relaxed, button-down dress with a loose fit, suitable for casual or formal wear."
Snowy,Earth,Floral,Sophisticated,Standard,Sundress,"A light, airy dress suitable for warm weather, often with thin straps."
Windy,Earth,Geometric,Trendy,Standard,Wrap,"A dress with a wrap-around style that ties at the waist, flattering for all body types."
Sunny,Earth,Floral,Casual,Oversized,Knit Sweater,"A cozy, knitted dress, often with a loose or oversized fit."
